Column 1,Lat,Lng,
431,-22.226786,-49.9367549,
15753,-21.250928,-48.306562,
1812,-3.1343489,-60.0128229,
15757,-23.4960913,-46.8682271,
15714,-22.432364,-46.9509597,
1875,-21.7567077,-48.8323618,
633,-22.9558008,-43.1660805,
586,-22.9541412,-43.1753638,
543,-23.5382575,-46.7882384,
750,-11.733155,-49.114208,
26,-22.9068467,-43.1728965,
745,-22.7324847,-48.5724499,
1027,-21.7624764,-41.2909255,
78,-20.7639164,-41.533218,
1870,-23.1072154,-48.925516,
605,-23.6248379,-46.5479602,
15688,-23.5505199,-46.6333094,
95,-3.6768784,-40.3401943,
5051,-21.145344,-41.6826186,
704,-7.57656,-40.4976324,
5701,0.0420835,-51.0668602,
15497,-4.2229347,-38.7246497,
4026,-23.5214854,-46.4761134,
170,-21.467758,-47.0024626,
1082,-6.4703515,-35.444518,
15576,-23.521617,-46.197387,
578,-13.0024602,-38.5089752,
583,-3.745973,-38.5750365,
550,-7.2089579,-35.9172239,
5017,-22.5112498,-43.1779306,
75,-23.0821226,-52.4622155,
573,-20.2768032,-40.3039863,
598,-22.4135557,-45.4492973,
824,-17.9933766,-49.3649519,
17291,-10.4427779,-49.1798964,
3984,-9.389083,-40.5030961,
4022,-23.1819339,-46.8821361,
71,-5.2043484,-37.3161565,
55,-23.5613991,-46.7307891,
15669,-8.8828551,-36.4968966,
4016,-22.9341544,-43.1875249,
5633,-22.9114822,-46.5360465,
3160,-9.6639694,-35.7309821,
744,-16.4646135,-49.9621481,
830,0.0355735,-51.070535,
5664,-7.57656,-40.4976324,
18506,-12.1489128,-45.0212787,
15585,-23.649842,-46.533622,
3835,-2.516667,-44.266667,
1583,-23.0886774,-47.2089544,
579,-7.1364506,-34.8456179,
15581,-23.223701,-45.9009074,
15793,-23.8063468,-45.4016534,
4961,-5.6469792,-48.1236211,
74,-21.6205959,-46.9026472,
1012,-7.7435324,-37.6313297,
547,-22.9026567,-43.2234714,
4417,-8.3163354,-36.2889377,
9,-23.3262721,-51.2053281,
585,-27.6004916,-48.520407,
107,-21.1248621,-44.2507737,
1813,-1.4381565,-48.4614388,
5627,-22.121126,-51.393006,
1,-16.4674144,-54.5802717,
576,-21.773459,-43.369259,
34,-23.5916245,-46.6448126,
15507,-9.975377,-67.8248977,
37,-22.3147224,-48.5493653,
557,-25.4305165,-49.2620615,
753,-8.0725066,-39.1268089,
686,-7.8761854,-35.4472157,
15784,-22.2175846,-49.9505291,
4786,-10.1994666,-48.3116322,
67,-22.7080884,-47.6447414,
685,-8.3163354,-36.2889377,
3161,-9.389083,-40.5030961,
3162,-27.5953778,-48.5480499,
649,-26.2422437,-51.0915863,
495,-22.9457999,-46.527113,
3189,-19.9759755,-43.970418,
593,-22.9105968,-43.2198226,
1811,-16.3733301,-48.9820758,
5044,-8.8809408,-36.4854946,
421,-24.043514,-52.386868,
548,-2.5579399,-44.308938,
17942,-23.5352452,-46.575463,
17977,-23.5398463,-46.4475328,
600,-2.5359439,-44.2783952,
17953,-22.1007393,-50.1858252,
687,-26.2219455,-51.0850644,
602,-23.2103163,-45.8755803,
3,-10.9248113,-37.1005511,
725,-25.515161,-48.509408,
692,-9.3960383,-40.4793513,
4098,-29.6873064,-53.8154769,
1874,-22.9506034,-49.8960881,
592,-21.2292703,-44.9775718,
409,-8.0476017,-34.886597,
881,-22.6604341,-50.4187813,
